id	valence	sd	text
1	0.67	0.62	Il paraît que l'an dernier, un événement magique s'est produit, juste avant Noël, au bord du lac Hertel, sur la montagne, et il est fort probable qu'il se répète désormais annuellement les samedi et dimanche avant Noël.
2	0.85	0.82	Quel événement magique? Les animaux de la montagne ont , eux aussi, fêté Noël.
3	0.26	0.53	Cette incroyable histoire a commencé il y deux ans, pendant le tout premier "Noël sur la montagne".
4	0.46	0.65	Attirés par les chants de la chorale, l'odeur des bûches et le va-et-vient des visiteurs, des centaines d'animaux dont des renards, des lapins, des belettes, des musaraignes, des écureuils, des coyotes, des hiboux, des cardinaux, des mésanges et combien d'autres sont sortis de leurs nids et de leurs cachettes.
5	0.81	0.68	D'innombrables petits yeux brillaient haut dans les arbres et sous les branches et observaient avec étonnement la fête au bord du lac.
6	-0.04	0.52	Prudents, les animaux se tenaient assez loin. 
7	0.59	0.8	Mais les mésanges, qui sont les courageuses messagères de la montagne, se sont approchées pour observer les centaines de visiteurs réunis autour des feux et de la chorale, et là, très impressionnées, elles se sont mises à réfléchir.
8	0.3	0.47	Il faut savoir que les animaux de la montagne ont aussi leurs fêtes car ils se réunissent une fois l'an, à la pleine lune de juin, dans une grande salle cachée sous le lac Hertel.
9	0.33	0.68	Cette fête est une idée de Jack Rabbit, le vieil homme (mort il y a plusieurs années), qui a vécu longtemps sur la montagne. 
10	0.52	0.64	Après sa mort, Jack avait décidé de revenir à sa chère montagne pendant l'été pour y retrouver ses amis les animaux. 
11	0.96	0.71	C'est ainsi, grâce à lui, que les animaux essaient de faire la paix pendant quelques heures à la pleine lune et de ne pas se faire peur ou se manger.
12	1.37	0.69	Ils s'amusent comme des fous, en se racontant tout ce qu'ils ont observé sur les humains en visite sur la montagne au cours de l'année.
13	-1.41	0.64	Mais la fête de juin ne réussit jamais qu'à moitié , car cette fête a toujours fini dans les cris d'horreur et le drame.
14	-1.22	0.64	Pourquoi? Eh, bien parce que les gros ne réussissent pas à contrôler leurs instincts sauvages.
15	-0.89	0.64	C'est bien triste, mais c'est une loi de la forêt que les gros mangent les petits.
16	-0.7	0.67	Les renards, les coyotes, les belettes font trembler l'écureuil, le tamias et les lapins.
17	-0.59	0.75	Même histoire pour les oiseaux.
18	-1.22	0.7	Les hiboux, surtout le Grand Duc, effraient et chassent sans pitié les petits oiseaux et les souris.
19	-0.85	0.66	Tout le monde se guette, se cache, et doit mettre son museau ou son bec dehors avec la plus grande prudence.
20	-1.67	0.62	Un moment d'oubli et c'est la mort rapide et terrible.
