id	valence	sd	text
1	0	0	Cette histoire tout à fait étonnante est arrivée au temps où la Vallée du Richelieu était encore parsemée d'une foule de petites fermes.
2	0	0	Dans l'une d'elles habitait un vieux couple, Armand et Fernande.
3	0	0	Ils avaient un beau jardin et un troupeau d'une douzaine de vaches.
4	0	0	En vérité, ils avaient 13 vaches, mais la treizième ne comptait pas vraiment, car elle était un peu étrange. 
5	0	0	Fernande l'appelait affectueusement "Tristoune".
6	0	0	Tristoune avait mystifié Armand et Fernande dès sa petite enfance.
7	0	0	À l'écart de ses soeurs, elle choisissait toujours un coin tranquille, si possible près du ruisseau, où elle semblait écouter, le coeur lourd, le murmure de l'eau.
8	0	0	Les soirs de pleine lune, elle ne voulait pas rentrer à l'étable et faisait tout pour regarder la lune qu'elle contemplait avec ses grands yeux ronds et doux.
9	0	0	Le plus remarquable était son meuglement.
10	0	0	Elle ne mugissait pas tout à fait comme sa mère ou ses soeurs.
11	0	0	Son chant ressemblait plutôt à celle de la sirène, tiens, à celle de la "vache marine" qui pleure dans la brume, tant le son de son meuglement était mélancolique et éploré.
12	0	0	Fernande avait aussi remarqué que Tristoune avait la queue plus molle que les autres.
13	0	0	Elle ne chassait pas énergiquement les mouches qui la harcelaient, mais pendait misérablement.
14	0	0	"Mais, se disait Fernande, tout ça passerait sûrement avec le temps".
15	0	0	En vieillissant, les états d'âme de Tristoune ne devenaient guère plus joyeux.
16	0	0	En plus de mugir à fendre l'âme, la petite vache passait les nuits de pleine lune à contempler le ciel comme à la recherche d'un bonheur qui habitait quelque part au loin.
17	0	0	Elle esquissait même à ces moments-là des sauts malhabiles comme si elle voulait monter au ciel.
18	0	0	Fernande l'observait pleine de compassion. 
19	0	0	"Pauvre Tristoune qu'est-ce qui se passe donc dans son coeur de vache?".
20	0	0	Les malheurs de la vache devinrent plus inquiétants encore quand elle atteignit l'âge de donner du lait.
21	0	0	Elle en donnait généreusement et sans gémir, mais son lait avait une apparence fort étrange, comme du lait qui avait tourné.
22	0	0	Il était grumelleux et goûtait le sur. Il fallait le jeter dans le fossé.
