id	random	valence	sd	text
8622	1	-3.00	0.00	La violence, qui sévit quasiment à tous les matches du championnat d'Italie, a atteint son paroxysme, dimanche à Gênes, où un jeune supporter de l'équipe locale, Luc , a été mortellement blessé à coups de couteau peu avant le début du match Gênes - Milan AC.
11003	1	-2.90	0.32	Luc , inculpé pour le meurtre de 12 femmes, s'est suicidé en prison.
2020	1	-2.40	0.70	"Pour ses opérations souvent très meurtrières, l'armée use toujours du prétexte d'attaques antérieures de ""bandes armées"", dites être sous le commandement de l'ancien ministre hutu de l'Intérieur Luc ."
5463	1	-2.40	0.70	C'est une tragédie pour tout le personnel, pour tous les journalistes russes, pour toute la Russie, a déclaré Jean .
10609	1	-2.40	0.84	Nous voyons des victimes parmi les soldats et nous considérons tout cela comme de la folie pure, a dit Tom .
4795	1	-2.20	0.79	"L'assassinat de Marc avec les relents putrides de l'affaire Agusta, les dérives des "" commissions "", l'arrosage des PS et SP : les occasions sont belles pour les partis d'extrême droite qui ramasseront avec délices les votes des déçus, des râleurs, bref, des électeurs qui n'approfondiront pas le problème."
9800	1	-2.20	0.79	En frappant Tom , Rome s'en prend, au-delà des clivages philosophiques, à tous les hommes et à toutes les femmes qui placent au premier rang les valeurs de fraternité, de solidarité, de liberté de l'esprit.
4258	1	-2.10	0.88	Selon Max , le trou du Lyonnais serait de l'ordre de 300 milliards de francs belges.
127	1	-2.00	0.67	Ces confiscations de terre constituent une violation manifeste des accords conclus, a déclaré Max , qui va déposer une plainte à l'ONU.
2534	1	-2.00	1.05	Max est en chute libre depuis des mois.
5685	1	-2.00	1.56	Accusé de corruption, de détournement de fonds publics, d'évasion de capitaux, de fraude fiscale, etc., des délits pouvant valoir plus de 60 ans de prison, Max a été détenu lundi après-midi à 12.000 kilomètres de Madrid, au Laos, pour être livré aussitôt à des agents espagnols qui l'attendaient à l'aéroport de Bangkok.
6035	1	-2.00	0.82	"Dans le premier, on apprend pourquoi Luc a favorisé la percée, dès 1984, du Front national de Marc - 0.7 % du corps électoral en 1974, 9.9 % avec le ""cadeau"" de la proportionnelle en 1986, et 14.4 % à la présidentielle de 1988 (!), pour revenir à environ 10 % à présent."
6901	1	-2.00	0.82	Le jugement de Marc est sévère: le monde est dangereux, globalisé et sans contrôle des changes.
10130	1	-2.00	1.05	La violence autoritaire, les violations des droits de l'homme et les atteintes à l'intégrité physique de citoyens innocents hypothèquent lourdement la stabilité dans le Caucase et constituent une sérieuse menace pour le processus de coopération dans le cadre paneuropéen, processus dans lequel tous les pays démocratiques du continent fondent de grands espoirs, a ajouté Luc .
2655	1	-1.90	0.88	Sur le moment, j'ai décelé une déchirure complète du ligament latéral interne, soit la même blessure que celle dont souffre Luc .
3791	1	-1.90	0.99	"À ses yeux, Marc , le jeune "" trader "" de Singapour, n'est qu'un bouc émissaire, c'est tout le système qui est en crise."
2920	1	-1.80	0.79	"Pierre a indiqué qu'il avait été "" choqué "" par des déclarations de Max , selon lequel l'offensive turque pourrait durer encore un an."
3423	1	-1.80	1.32	En un éclair Jean le maîtrisa et lui mit le canon de son GP 9 mm sur la tempe!
5652	1	-1.80	0.92	On notera encore la remarque acide de Edith à propos de la formation du personnel pénitentiaire en matière de toxicomanie alors que, bien souvent, ils constituent eux-mêmes un maillon du trafic des stupéfiants en milieu carcéral.
6796	1	-1.80	0.42	"Parmi les raisons du sabordage, il faut encore citer, en vrac, la guérilla Nord - Sud sur la réforme de la Sécurité sociale (le CVP veut mettre le débat sur la table du gouvernement, le PS réclamait des garanties et le gouvernement flamand annonçait une position ""dure"" dans les prochaines semaines), les tensions droite - gauche sur l'index ou encore les ""déclarations d'amour"" de Marc et de Max à l'égard de Luc ."
8021	1	-1.80	0.63	Marc répétait que si la compagnie ne trouve pas un partenaire - qui ni sera ni Air France ni l'Etat belge - prêt à la recapitaliser à hauteur de 6 ou 7 milliards, de manière à soutenir le redressement entamé, elle connaîtra des difficultés importantes, or elle emploie 9.400 personnes!
10560	1	-1.80	1.48	Badaboum pour Jean : à peine rétabli de l'opération à la cheville qui a sabordé tout son premier tour, le Louviérois se retrouve aujourd'hui à la case départ.
410	1	-1.70	1.06	Au cours de cette même conférence de presse, lundi, Jean a dressé un bilan (catastrophique) de la gestion PS-PSC à la Région wallonne.
2896	1	-1.70	1.06	Comme prévu, la défense - Tom , Luc père et fils - a fait l'hagiographie de Marc avant 1985, date de son accident de travail (blessures par balles) et du naufrage de son premier mariage.
5817	1	-1.70	0.82	Plus loin, évoquant les dangers guettant la Région, Jean , parle des formations politiques conduisant à la stagnation économique et, de ce fait, à l'exode des habitants actifs et des entreprises.
8517	1	-1.70	0.82	Comme devait le dire Max , un rideau de fer s'était abattu sur le front soviétique...
8667	1	-1.70	0.82	Quel compromis pourrait-on faire avec lui - puisque même Tom parle de son thatchérisme -, si ce n'est entrer dans un jeu de dupes, ce que je refuse?
9060	1	-1.70	1.06	Regardez mes mains, elles sont en sang, fulminait Max au parc de regroupement de Saint-Agrève, qui marquait la mi-journée pour les concurrents de cette manche d'ouverture du championnat du monde des rallyes.
1646	1	-1.60	0.97	Néanmoins, j'ai le sentiment que Tom reste mon rival le plus dangereux.
2100	1	-1.60	0.52	Quelques heures plus tard, ensuite, Jean renonçait à participer au Tour du Pays basque, victime d'une douleur persistante au genou.
2659	1	-1.60	1.35	Le parquet de Hambourg a requis, mercredi, 2 ans et 9 mois de prison ferme contre Max , l'Allemand qui avait poignardé Marie en avril 1993, par amour pour Elise .
4656	1	-1.60	1.26	Luc a été carrément expulsé du pouvoir par Marc qui a déclaré qu'il n'y a plus d'URSS et plus de place pour Luc .
5228	1	-1.60	1.07	Max tire sur Tom et Jean , et sur eux seulement.
7045	1	-1.60	1.17	Max , condamné pour viol à 6 ans de prison en 1992, sera libéré le 25 mars, date initialement prévue pour son élargissement, mais qui avait été reportée par sanction disciplinaire.
7584	1	-1.60	0.97	Celui-ci, conseillé par Jean , raconte alors à la police que le beau-père du juge, Luc , tente de lui extorquer de l'argent contre la promesse d'intervenir auprès du magistrat pour stopper l'enquête!
8102	1	-1.60	0.70	"C'est ainsi qu'il a dû subir de rudes attaques provenant d'hommes tels que Marc (qui a lui-même retiré à contre-coeur sa candidature, en faveur de Max le qualifiant de ""recordman des échecs électoraux""."
9643	1	-1.60	0.84	Quelques minutes à peine après la présentation du nouveau gouvernement, retransmise en direct par la télévision, à 17 heures, le Pôle de la droite de Pierre annonçait qu'il n'allait pas donner son appui au gouvernement de Tom qui, manifestement, n'a pas suivi les indications de la majorité sortante.
10881	1	-1.60	0.70	"Jean repète, comme on l'aura lu ""À bout portant"", qu'il n'a pas cédé à d'amicales pressions mais à une irrépressible panique."
