id	random	valence	sd	text
3783	2	-3.00	0.00	Vexé, furieux, Pierre a exécuté Max puis abattu de sept balles le collègue réveillé par la première détonation.
3609	2	-2.30	0.82	"Un groupe d'étudiants catholiques, dont le fils d'un ministre, avait plus d'une heure durant lapidé la façade de la maison de la place des Barricades en vociférant "" À mort Pierre ! ""."
7252	2	-2.30	0.95	Acquitté vendredi pour l'assassinat de l'ingénieur Pierre , en 1986, mais condamné pour le vol de sa collection d'armes en 1985, l'ex-gendarme Max , 43 ans, dit coupable de crimes dont l'un remonte à 1982 (un vol d'or à Zaventem aggravé par le meurtre de Jean et le plus récent à 1989 (l'expédition meurtrière d'Anvers), risquait la mort.
8489	2	-2.30	0.95	Tandis que les Italiens pleurent de honte devant la dépouille de Tom , les Anglais se bornent à condamner avec un certain sourire la tentative d'homicide commise par Marc sur un spectateur londonien.
10043	2	-2.30	1.06	Au contraire, ils peuvent continuer leur coup d'État en douceur: supprimer les acquis de la démocratie, étouffer la voix du peuple en neutralisant l'Assemblée nationale, imposer un homme de paille comme président du parlement, qui devient président de la République au moment où Luc serait tué, faire disparaître des responsables ou personnalités hutus, reprendre le pouvoir et les privilèges perdus.
8240	2	-2.20	1.32	Luc , le jeune supporter qui a tué un partisan du Jean , sera jugé pour homicide volontaire.
2979	2	-2.10	0.57	Jeanne , qu'on espérait voir terminer parmi les vingt premières, ne fut jamais dans le coup, se classant décevante 62e.
2078	2	-2.00	1.25	Le 12 février 1989, quelques heures après le quarantième anniversaire de la mort de son grand-père, Luc pousse son dernier soupir, mettant fin à une longue maladie pulmonaire qui le rongeait depuis des décennies.
4509	2	-2.00	0.82	Il achète une carabine le 22 décembre et se met en embuscade devant le domicile de Lea .
4852	2	-2.00	0.82	Il a menacé de démissionner pour protester contre cette décision de Max , accusé de s'arroger les prérogatives du maire de Moscou et de violer, sous couvert de lutte contre la mafia, l'État de droit qu'il prétend précisément protéger.
5384	2	-2.00	0.82	Moins chanceux, Tom dut alors défendre un déficit de 4.750.000 francs attendu pour l'exercice 95.
6971	2	-2.00	0.94	Élocution heurtée, voix trébuchante, difficultés à se déplacer, incapable d'assister à sa propre conférence de presse, Max est apparu aux téléspectateurs comme un homme ou bien en très mauvaise santé ou en état de profonde ébriété.
6977	2	-1.90	0.57	Après le déballage de linge sale entamé, lundi, par Pierre , qui s'était rué à l'attaque de son beau-père, Luc , le procès en correctionnelle dans lequel ils comparaissent tous deux - avec dix autres prévenus - pour abus et recel de biens sociaux, s'était bloqué.
284	2	-1.80	0.63	Mais il y avait hier soir chez Jean une agressivité, un irrespect et, pour tout dire, une certaine désinformation dont on ne trouvait pas d'équivalent la veille, à Valence, au meeting de Marc .
1039	2	-1.80	0.42	Les lois de répression du trafic de drogues, élaborées sous Marc , donnaient déjà à la police une grande latitude pour la saisie d'argent et de biens de personnes soupçonnées de consommation ou trafic, occasionnant des pertes devenues parfois irréparables au moment où les suspects étaient innocentés.
2894	2	-1.80	1.14	En cours de procès, l'avocat général Jean avait abandonné l'accusation d'assassinat sur Luc , la première victime de Pierre , une victime un peu oubliée dans ce procès, complètement oubliée dans les regrets exprimés par Pierre.
3888	2	-1.80	1.03	"Tom est "" l'homme providentiel "" surpris en flagrant délit de faux témoignage"
5655	2	-1.80	0.42	D'un point de vue judiciaire, neuf jours après la mort de l'inspecteur vétérinaire Jean , l'enquête sur cet assassinat ne semble pas avoir avancé d'un millimètre.
5567	2	-1.70	0.82	Il fallait humilier, et cela a été fait, a dit, à la sortie, Pierre , tandis qu'après être resté prostré dans la salle après l'audience, Tom affrontait enfin la presse et les caméras, dénonçant, de son côté, un réquisitoire excessif, démesuré, politique.
6955	2	-1.70	0.95	Au cours du procès devant le tribunal de première instance, Jean avait été arrêté et inculpé dans un autre dossier ayant pour objet des malversations financières au sein de l'Intercommunale des oeuvres sociales de Montignies-le-Tilleul.
7686	2	-1.70	0.95	Pourquoi Marc donne-t-il ainsi l'impression de répéter l'erreur de précipitation qui lui a été funeste avec la première mouture de son projet, oubliant la consigne d'extrême prudence imposée la veille en réunion de gouvernement?
81	2	-1.60	1.26	C'est la demande adressée au bourreau de suspendre le massacre pour que les dirigeants étrangers puissent, sans états d'âme, assister aux réjouissances mises en scène par Tom .
106	2	-1.60	0.84	Malgré ses nombreuses lettres et sa campagne de protestation, rien ne semble changer et les clients continuent de fuir le quartier, mais on ne peut pas dire que la commune ne fait rien, assure Jean .
2911	2	-1.60	1.17	Au même moment, un témoin l'accusait d'abus de pouvoir et de corruption, et, peu après, dix personnalités de la Ligue des femmes, dont Marie , démissionnaient de l'organisation, présidée par Pierre , en avançant le manque de transparence et de démocratie de cette instance de l'ANC.
4580	2	-1.60	0.84	Marc n'a pas échappé au maudit virus de la grippe.
357	2	-1.50	0.85	Certains, au contraire, s'y sont trop tôt fié et ont baissé les bras, comme Marie elle-même qui ne cachait pas son découragement ces dernières semaines, comme si le sondage décidait à lui seul du courage politique...
1129	2	-1.50	0.97	Dans le scandale du match Olympique de Marseille contre le club de Valenciennes, Max a été condamné vendredi par le tribunal correctionnel de sa ville à six mois de prison avec sursis et à deux ans d'inéligibilité pour subornation de témoin.
4617	2	-1.50	0.85	En Amérique, Max n'est ni plus ni moins qu'une espèce de symbole de la salacité.
5907	2	-1.50	0.85	Pierre rappela ensuite qu'il y avait pour l'heure quelque 800 demandes en attente pour des logements sociaux à Tubize.
6425	2	-1.50	0.85	Marc s'est en effet rendu compte qu'un intrus s'était introduit dans sa voiture de fonction durant la nuit et lui avait dérobé un mobilophone et un dictaphone.
7087	2	-1.50	1.18	Cette dérive maritime était certes cocasse, mais ne faisait que cacher un malaise bien plus grave: contrairement à Pierre , l'information est en train de se noyer. (O.V.V.)
11035	2	-1.50	0.85	"Si les erreurs des ""stratèges"" russes sont évidentes, notamment dans la sous-évaluation de la résistance, c'est Tom qui, en engageant des forces considérables pour mater la sécession d'une petite république, a pris un risque politique énorme."
573	2	-1.40	0.97	Par ailleurs, on ne peut que considérer avec une grande, très grande appréhension la nouvelle progression du parti de Marc .
3036	2	-1.40	0.84	Max est un dandy romantique, qui blasphème sur une société décadente, un libertin violent qui a une singulière tendance à transformer ses jeux et ses étreintes en rapports sado-maso !
4220	2	-1.40	1.96	Max , au contraire, plaida pour une législation, car le négationnisme réhabilite le crime nazi en faisant disparaître l'arme du crime puis le crime lui-même en innocentant les bourreaux.
10534	2	-1.40	1.17	Les partis d'opposition (et Tom ) n'avaient, en revanche, pas de mots assez durs pour condamner l'accord et fustiger les inadmissibles concessions aux francophones.
3292	2	-1.30	0.67	"Il est vrai, selon Luc , qu'elle avait de qui tenir: son grand-père avait été un ""Daensiste"" enragé et son oncle était mort en prison juste après la Première guerre, condamné pour son activisme flamand pendant la Première guerre."
6978	2	-1.30	0.67	Marc a renvoyé en correctionnelle, Max devant la cour spéciale.
1432	2	-1.20	0.63	Cela dit, même Paula n'a pas trouvé grâce auprès des producteurs.
2256	2	-1.20	0.92	Cette différence de traitement entre la tentative de corruption passive et la tentative de corruption active est anormale, note Jean .
5667	2	-1.20	1.03	Pierre dans un cul-de-basse-fosse, c'est un choc de magnitude 10 pour la nomenklatura belge des affaires et de la politique.
10070	2	-1.20	1.03	La fuite spectaculaire de Pierre dès la publication du verdict, comme si le malheureux était la victime d'un attentat à la pudeur, nous paraît déplacée.
133	2	-1.10	1.20	Dynamiteur du travaillisme historique et persuadé que la fin justifie les moyens, Max prête le flanc à la critique de ceux qui l'accusent de sacrifier la substance à l'apparence, de n'avoir aucun projet politique au-delà de la conquête du pouvoir.
